ds,y
10/18/2017,0.6604930989736936
11/3/2017,0.5992511366675581
12/5/2017,0.633546613082333
1/6/2018,0.6331645569620253
2/7/2018,0.6789536266349585
3/27/2018,0.6191263152096074
4/28/2018,0.6462180622312167
5/30/2018,0.7057487579843861
6/15/2018,0.6580645161290323
7/1/2018,0.6786740331491712
8/18/2018,0.6659248769303392
9/3/2018,0.6246153846153846
10/5/2018,0.6207113809496535
11/22/2018,0.6789536266349585
12/8/2018,0.6789536266349585
1/9/2019,0.6789536266349585
2/26/2019,0.5740427332346096
3/30/2019,0.6984911203097878
4/15/2019,0.5208413001912047
5/17/2019,0.6953944368445053
6/18/2019,0.6838196286472149
7/20/2019,0.6670521902558912
8/5/2019,0.6777504698568743
9/22/2019,0.4817073170731707
