,ds,y
0,10/18/2017,0.5138175376439327
1,11/3/2017,0.2741683991683992
2,12/5/2017,0.26146353052981713
3,1/6/2018,0.519541363580323
4,2/7/2018,0.4777070063694267
5,3/27/2018,0.6002159827213823
6,4/28/2018,0.6077905491698594
7,5/30/2018,0.6337800029450744
8,6/15/2018,0.5893358278765202
9,7/1/2018,0.586653549762256
10,8/18/2018,0.42630347593582885
11,9/3/2018,0.4777070063694267
12,10/5/2018,0.3250581846392552
13,11/22/2018,0.5190102595051298
14,12/8/2018,0.4777070063694267
15,1/9/2019,0.4777070063694267
16,2/26/2019,0.773756479039738
17,3/30/2019,0.7991917636870971
18,4/15/2019,0.4777070063694267
19,5/17/2019,0.23416549374027706
20,6/18/2019,0.3482297403619199
21,7/20/2019,0.27922349594176205
22,8/5/2019,0.2640911969601013
23,9/22/2019,0.24076259082158602
