ds,y
10/18/2017,0.7797119797436303
11/3/2017,0.6584472017171875
12/5/2017,0.6722876563067505
1/6/2018,0.6492830712303422
2/7/2018,0.6583693341562094
3/27/2018,0.6016553355010347
4/28/2018,0.5151515151515154
5/30/2018,0.7118980169971673
6/15/2018,0.726742712294043
7/1/2018,0.6793579454253612
8/18/2018,0.33062173155142355
9/3/2018,0.3656894375087669
10/5/2018,0.5603840945463499
11/22/2018,0.6583693341562094
12/8/2018,0.6583693341562094
1/9/2019,0.6583693341562094
2/26/2019,0.6583693341562094
3/30/2019,0.6512492660969404
4/15/2019,0.6583693341562094
5/17/2019,0.5095999441457795
6/18/2019,0.6782338469506669
7/20/2019,0.6476590636254503
8/5/2019,0.6605586438816828
9/22/2019,0.4580438268305719
